test;wtime;kernel_time;kernel_memory_transfer_time
as20000102.txt;1.709085673;869.031;955.853
ca-AstroPh.txt;6.645106235;4585.14;4838.36
ca-CondMat.txt;6.922297165;4801.17;5113.97
ca-GrQc.txt;1.955058040;919.75;992.871
ca-HepPh.txt;3.931388393;2369.4;2530.79
ca-HepTh.txt;3.511172543;2076.91;2209.7
com-amazon-ungraph.txt;575.835922913;557310;563535
com-dblp-ungraph.txt;303.097284853;285962;291617
email-Enron.txt;11.298344044;7946.33;8423.26
facebook_combined.txt;2.874184651;633.86;686.038
gen1.txt;.503000801;0.121888;0.163744
gen2.txt;.523037485;0.155648;0.19728
gen3.txt;.537150343;0.2744;0.347488
gen4.txt;.522394493;0.224288;0.279552
gen5.txt;.557369849;0.37968;0.448992
gen6.txt;.557512842;0.315264;0.387968
gen7.txt;.528403728;6.7144;7.18918
gen8.txt;.486027416;0.410656;0.495776
graph-random-001.txt;9.949764563;1692.52;1810.55
graph-random-002.txt;6.262286013;1517.86;1658.04
loc-gowalla.txt;125.757163424;115327;118148
