test;wtime;kernel_time;kernel_memory_transfer_time
as20000102.txt;1.231981181;472.271;528.702
ca-AstroPh.txt;7.168271563;5104.24;5335.16
ca-CondMat.txt;7.169590182;4784.14;5066.96
ca-GrQc.txt;2.367804954;691.981;750.114
ca-HepPh.txt;4.154487934;2551.43;2697.92
ca-HepTh.txt;2.981590319;1620.6;1733.13
com-amazon-ungraph.txt;553.779291417;536283;541767
com-dblp-ungraph.txt;264.592244644;249640;253940
email-Enron.txt;8.959141313;6090.08;6457.09
facebook_combined.txt;1.531414226;663.196;714.888
gen1.txt;.537564072;0.091136;0.123328
gen2.txt;.475675893;0.091136;0.122272
gen3.txt;.499010410;0.09104;0.12176
gen4.txt;1.201864761;0.222272;0.276448
gen5.txt;.886378877;0.106496;0.143712
gen6.txt;.419212366;0.29696;0.373152
gen7.txt;.430402173;1.49507;1.69539
gen8.txt;.838099596;0.126976;0.169472
graph_long_path.txt;6.024184348;0.090112;0.120512
graph-random-001.txt;10.429897525;1784.54;1902.88
graph-random-002.txt;6.838856970;1668.09;1817.88
loc-gowalla.txt;93.885096695;85015.4;86956
