test;wtime;kernel_time;kernel_memory_transfer_time
as20000102.txt;1.421847535;493.592;554.648
ca-AstroPh.txt;6.604779227;4330.14;4573.84
ca-CondMat.txt;6.472880807;4248.62;4533.52
ca-GrQc.txt;1.799939046;701.12;762.399
ca-HepPh.txt;3.754427305;2084.97;2232.17
ca-HepTh.txt;2.992941445;1630.57;1741.46
com-amazon-ungraph.txt;497.001899446;479420;484799
com-dblp-ungraph.txt;242.458929343;227843;232129
email-Enron.txt;7.931007791;5234.1;5594.28
facebook_combined.txt;1.520965769;601.693;654.008
gen1.txt;.647563964;0.090112;0.120992
gen2.txt;.553675322;0.090112;0.120544
gen3.txt;.543098479;0.092192;0.124608
gen4.txt;.477945675;0.221184;0.271328
gen5.txt;.568016718;0.090112;0.121248
gen6.txt;.486646842;0.287776;0.36208
gen7.txt;.655068182;1.50627;1.71216
gen8.txt;.536310203;0.14848;0.191264
graph_long_path.txt;5.751648323;0.095232;0.126112
graph-random-001.txt;10.469913025;1810.04;1927.29
graph-random-002.txt;6.519767784;1467.72;1609.13
loc-gowalla.txt;81.133279943;72242;74161.1
