test;wtime;kernel_time;kernel_memory_transfer_time
as20000102.txt;2.077557189;1087.79;1172.51
ca-AstroPh.txt;6.651843847;4539.53;4783.51
ca-CondMat.txt;7.700425427;5553.82;5861.75
ca-GrQc.txt;2.258878356;1134.01;1205.42
ca-HepPh.txt;4.187074132;2637.17;2795.75
ca-HepTh.txt;3.917680754;2482.75;2617.25
com-amazon-ungraph.txt;490.699155496;472566;478719
com-dblp-ungraph.txt;261.881511633;245689;251348
email-Enron.txt;10.911580631;7950.25;8429.96
facebook_combined.txt;1.546048585;717.139;771.492
gen1.txt;.526627236;0.091072;0.121984
gen2.txt;.491374342;0.151584;0.194304
gen3.txt;.561336395;0.202752;0.255424
gen4.txt;.528343340;0.217184;0.268064
gen5.txt;.533158125;0.372704;0.442432
gen6.txt;.507234358;0.28672;0.357984
gen7.txt;.415977617;6.85869;7.31363
gen8.txt;.464231339;0.361472;0.429376
graph-random-001.txt;9.014721803;964.742;1084.52
graph-random-002.txt;6.081331511;1342.04;1481.26
loc-gowalla.txt;112.840204420;101955;104856
