test;wtime;kernel_time;kernel_memory_transfer_time
as20000102.txt;1.611060346;668.211;725.71
ca-AstroPh.txt;6.787693139;4553.04;4790.61
ca-CondMat.txt;8.248293154;5420.43;5705.56
ca-GrQc.txt;2.687738536;1016.34;1078.78
ca-HepPh.txt;4.884617871;2529.23;2673.76
ca-HepTh.txt;3.756872494;2252.24;2366.17
com-amazon-ungraph.txt;443.975502350;426537;431945
com-dblp-ungraph.txt;219.885220625;204785;209197
email-Enron.txt;9.380171212;5823.42;6193.95
facebook_combined.txt;1.710257073;787.887;843.69
gen1.txt;.608347952;0.095232;0.128128
gen2.txt;.577847689;0.095232;0.143264
gen3.txt;.541593750;0.095136;0.128224
gen4.txt;.582738263;0.24064;0.295328
gen5.txt;.579757101;0.09728;0.129152
gen6.txt;.591120177;0.37184;0.463808
gen7.txt;.592411790;1.62525;1.8297
gen8.txt;.544449234;0.154624;0.206976
graph_long_path.txt;5.838188571;0.093184;0.126816
graph-random-001.txt;9.678220482;712.845;833.303
graph-random-002.txt;6.668731795;1298.24;1443.19
loc-gowalla.txt;75.406403394;66071.3;68042.1
