test;wtime;kernel_time;kernel_memory_transfer_time
as20000102.txt;1.464425928;657.723;715.047
ca-AstroPh.txt;6.979290557;4730.37;4965.51
ca-CondMat.txt;7.478607204;5387.09;5668.14
ca-GrQc.txt;1.929500195;991.884;1050.67
ca-HepPh.txt;4.025713151;2536.31;2680.11
ca-HepTh.txt;3.454699218;2258.31;2368.44
com-amazon-ungraph.txt;449.440349711;432056;437415
com-dblp-ungraph.txt;222.404860531;207325;211767
email-Enron.txt;8.783858814;5947.34;6310.93
facebook_combined.txt;1.577734177;795.229;847.048
gen1.txt;.545538933;0.09216;0.124032
gen2.txt;.472264718;0.09216;0.12448
gen3.txt;.469888412;0.091136;0.122912
gen4.txt;.546169918;0.226336;0.283904
gen5.txt;.484217676;0.09216;0.125536
gen6.txt;.503963076;0.29088;0.363648
gen7.txt;.493852424;1.70192;1.89488
gen8.txt;.458354767;0.124928;0.167936
graph_long_path.txt;5.563919047;0.090144;0.122016
graph-random-001.txt;9.661108467;718.776;837.602
graph-random-002.txt;6.393502621;1302.74;1444.64
loc-gowalla.txt;76.331368919;67418.5;69339.8
