test;wtime;kernel_time;kernel_memory_transfer_time
as20000102.txt;1.552920922;665.853;727.186
ca-AstroPh.txt;6.936798329;4608.19;4846.78
ca-CondMat.txt;7.784432943;5372.55;5658.15
ca-GrQc.txt;2.292558750;987.68;1048.46
ca-HepPh.txt;4.577602051;2548.23;2694.38
ca-HepTh.txt;3.777974740;2249.97;2366.38
com-amazon-ungraph.txt;440.402607285;422627;428063
com-dblp-ungraph.txt;219.308251003;204304;208697
email-Enron.txt;8.679133986;5906.43;6273.84
facebook_combined.txt;1.786208209;790.207;844.213
gen1.txt;.614484441;0.092128;0.124512
gen2.txt;.601430663;0.100352;0.133888
gen3.txt;.705657534;0.092256;0.124288
gen4.txt;.519598269;0.221184;0.27232
gen5.txt;.660673714;0.094144;0.127296
gen6.txt;.493607039;0.299008;0.373504
gen7.txt;.527784201;1.5616;1.7552
gen8.txt;.524181256;0.126048;0.169312
graph_long_path.txt;6.022197640;0.103424;0.135968
graph-random-001.txt;9.575942311;710.544;829.754
graph-random-002.txt;6.631966978;1273.4;1419.04
loc-gowalla.txt;74.743034339;65629.3;67583
