test;wtime;kernel_time;kernel_memory_transfer_time
as20000102.txt;2.052223182;1077.2;1166.84
ca-AstroPh.txt;6.492365367;4572.97;4818.61
ca-CondMat.txt;7.229194558;5489.34;5792.94
ca-GrQc.txt;2.000914568;1132.9;1200.7
ca-HepPh.txt;4.123907770;2619.06;2773.67
ca-HepTh.txt;3.553950289;2507.84;2637.17
com-amazon-ungraph.txt;489.156334185;471441;477596
com-dblp-ungraph.txt;261.495491053;245194;250850
email-Enron.txt;10.052875935;7889.38;8376.92
facebook_combined.txt;1.778788633;707.563;760.51
gen1.txt;.905264853;0.096224;0.127744
gen2.txt;.540590846;0.1576;0.201536
gen3.txt;.470781952;0.205856;0.25776
gen4.txt;.533867909;0.2232;0.291808
gen5.txt;.563564140;0.380928;0.455616
gen6.txt;.615482143;0.287744;0.361344
gen7.txt;.507174934;7.79731;8.37878
gen8.txt;.456757981;0.369664;0.44432
graph-random-001.txt;9.406165272;1418.62;1549.14
graph-random-002.txt;6.431886729;1735.86;1891.71
loc-gowalla.txt;112.571165645;101842;104743
