test;wtime;kernel_time;kernel_memory_transfer_time
as20000102.txt;1.392718397;592.499;651.94
ca-AstroPh.txt;6.448836834;4211.21;4443.72
ca-CondMat.txt;7.185481793;4910.73;5193.36
ca-GrQc.txt;1.921284417;910.759;970.358
ca-HepPh.txt;3.841015977;2314.56;2459.72
ca-HepTh.txt;3.288884302;1959.24;2066.67
com-amazon-ungraph.txt;429.556845825;412298;417697
com-dblp-ungraph.txt;209.835332761;194420;198782
email-Enron.txt;8.530622489;5193.18;5557.55
facebook_combined.txt;1.600296238;697.074;749.411
gen1.txt;.627951252;0.099328;0.132704
gen2.txt;.458085561;0.090112;0.121568
gen3.txt;.545389290;0.106496;0.138112
gen4.txt;.501546732;0.242688;0.295136
gen5.txt;.510070399;0.094208;0.126464
gen6.txt;.638495026;0.30208;0.373312
gen7.txt;.493788225;1.75706;1.99277
gen8.txt;.522984174;0.146432;0.196256
graph_long_path.txt;5.782092785;0.104448;0.136704
graph-random-001.txt;9.631417625;973.825;1090.76
graph-random-002.txt;6.361555505;1308.94;1454.15
loc-gowalla.txt;74.114581797;65038.6;67012.5
