test;wtime;kernel_time;kernel_memory_transfer_time
as20000102.txt;1.292207655;477.508;535.897
ca-AstroPh.txt;6.204165212;4181.23;4418.7
ca-CondMat.txt;6.508492326;4257.71;4546.26
ca-GrQc.txt;1.830927724;702.531;762.861
ca-HepPh.txt;4.152206350;2100.14;2241.88
ca-HepTh.txt;2.998639289;1652.32;1762.93
com-amazon-ungraph.txt;493.370998155;475996;481415
com-dblp-ungraph.txt;240.078938840;224815;229271
email-Enron.txt;7.873825416;5100.61;5467.71
facebook_combined.txt;1.833391018;623.787;678.205
gen1.txt;.951512877;0.099328;0.131136
gen2.txt;.493185867;0.09728;0.128352
gen3.txt;.530325378;0.097184;0.130368
gen4.txt;.569658539;0.308224;0.381856
gen5.txt;.602843764;0.093152;0.124896
gen6.txt;.620609878;0.292864;0.364352
gen7.txt;.560823137;1.93638;2.20038
gen8.txt;.612727690;0.16384;0.213984
graph_long_path.txt;6.434399588;0.09216;0.124416
graph-random-001.txt;11.042113883;1786.42;1906.75
graph-random-002.txt;6.850774530;1520.67;1671.07
loc-gowalla.txt;81.346390830;71822.3;73786.4
